[2026-07-20 16:07:46.148] [DEBUG] [Game] Game: ai2_win | moves=33 | defense=10 | winner=AI2
[2026-07-20 16:07:46.197] [DEBUG] [Game] Game: ai1_win | moves=19 | defense=2 | winner=AI1
[2026-07-20 16:07:46.253] [DEBUG] [Game] Game: ai2_win | moves=23 | defense=3 | winner=AI2
[2026-07-20 16:07:46.328] [DEBUG] [Game] Game: ai2_win | moves=40 | defense=10 | winner=AI2
[2026-07-20 16:07:46.434] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
[2026-07-20 16:07:46.537] [DEBUG] [Game] Game: draw | moves=81 | defense=16 | winner=Draw
[2026-07-20 16:07:46.649] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:46.677] [DEBUG] [Game] Game: ai1_win | moves=11 | defense=2 | winner=AI1
[2026-07-20 16:07:46.777] [DEBUG] [Game] Game: ai2_win | moves=49 | defense=6 | winner=AI2
[2026-07-20 16:07:46.831] [DEBUG] [Game] Game: ai1_win | moves=21 | defense=3 | winner=AI1
[2026-07-20 16:07:46.888] [DEBUG] [Game] Game: ai2_win | moves=23 | defense=2 | winner=AI2
[2026-07-20 16:07:47.002] [DEBUG] [Game] Game: draw | moves=81 | defense=1 | winner=Draw
[2026-07-20 16:07:47.055] [DEBUG] [Game] Game: ai2_win | moves=23 | defense=4 | winner=AI2
[2026-07-20 16:07:47.113] [DEBUG] [Game] Game: ai1_win | moves=25 | defense=6 | winner=AI1
[2026-07-20 16:07:47.154] [DEBUG] [Game] Game: ai2_win | moves=15 | defense=2 | winner=AI2
[2026-07-20 16:07:47.243] [DEBUG] [Game] Game: ai2_win | moves=48 | defense=8 | winner=AI2
[2026-07-20 16:07:47.323] [DEBUG] [Game] Game: ai2_win | moves=41 | defense=7 | winner=AI2
[2026-07-20 16:07:47.429] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
[2026-07-20 16:07:47.505] [DEBUG] [Game] Game: ai2_win | moves=37 | defense=9 | winner=AI2
[2026-07-20 16:07:47.615] [DEBUG] [Game] Game: ai2_win | moves=68 | defense=6 | winner=AI2
[2026-07-20 16:07:47.677] [DEBUG] [Game] Game: ai2_win | moves=29 | defense=10 | winner=AI2
[2026-07-20 16:07:47.741] [DEBUG] [Game] Game: ai1_win | moves=29 | defense=11 | winner=AI1
[2026-07-20 16:07:47.818] [DEBUG] [Game] Game: ai2_win | moves=35 | defense=5 | winner=AI2
[2026-07-20 16:07:47.917] [DEBUG] [Game] Game: draw | moves=81 | defense=16 | winner=Draw
[2026-07-20 16:07:48.022] [DEBUG] [Game] Game: draw | moves=81 | defense=17 | winner=Draw
[2026-07-20 16:07:48.128] [DEBUG] [Game] Game: draw | moves=81 | defense=8 | winner=Draw
[2026-07-20 16:07:48.189] [DEBUG] [Game] Game: ai2_win | moves=23 | defense=3 | winner=AI2
[2026-07-20 16:07:48.256] [DEBUG] [Game] Game: ai2_win | moves=30 | defense=4 | winner=AI2
[2026-07-20 16:07:48.351] [DEBUG] [Game] Game: ai2_win | moves=49 | defense=10 | winner=AI2
[2026-07-20 16:07:48.463] [DEBUG] [Game] Game: draw | moves=81 | defense=12 | winner=Draw
[2026-07-20 16:07:48.534] [DEBUG] [Game] Game: ai2_win | moves=33 | defense=6 | winner=AI2
[2026-07-20 16:07:48.614] [DEBUG] [Game] Game: ai2_win | moves=38 | defense=5 | winner=AI2
[2026-07-20 16:07:48.668] [DEBUG] [Game] Game: ai1_win | moves=22 | defense=3 | winner=AI1
[2026-07-20 16:07:48.731] [DEBUG] [Game] Game: ai2_win | moves=30 | defense=9 | winner=AI2
[2026-07-20 16:07:48.800] [DEBUG] [Game] Game: ai2_win | moves=31 | defense=8 | winner=AI2
[2026-07-20 16:07:48.918] [DEBUG] [Game] Game: draw | moves=81 | defense=6 | winner=Draw
[2026-07-20 16:07:49.014] [DEBUG] [Game] Game: ai1_win | moves=46 | defense=10 | winner=AI1
[2026-07-20 16:07:49.104] [DEBUG] [Game] Game: ai2_win | moves=54 | defense=6 | winner=AI2
[2026-07-20 16:07:49.167] [DEBUG] [Game] Game: ai2_win | moves=25 | defense=4 | winner=AI2
[2026-07-20 16:07:49.224] [DEBUG] [Game] Game: ai2_win | moves=22 | defense=5 | winner=AI2
[2026-07-20 16:07:49.276] [DEBUG] [Game] Game: ai2_win | moves=19 | defense=2 | winner=AI2
[2026-07-20 16:07:49.383] [DEBUG] [Game] Game: draw | moves=81 | defense=14 | winner=Draw
[2026-07-20 16:07:49.460] [DEBUG] [Game] Game: ai2_win | moves=41 | defense=12 | winner=AI2
[2026-07-20 16:07:49.552] [DEBUG] [Game] Game: ai2_win | moves=50 | defense=9 | winner=AI2
[2026-07-20 16:07:49.665] [DEBUG] [Game] Game: draw | moves=81 | defense=7 | winner=Draw
[2026-07-20 16:07:49.738] [DEBUG] [Game] Game: ai2_win | moves=32 | defense=8 | winner=AI2
[2026-07-20 16:07:49.790] [DEBUG] [Game] Game: ai2_win | moves=19 | defense=6 | winner=AI2
[2026-07-20 16:07:49.866] [DEBUG] [Game] Game: ai2_win | moves=30 | defense=4 | winner=AI2
[2026-07-20 16:07:49.939] [DEBUG] [Game] Game: ai2_win | moves=33 | defense=3 | winner=AI2
[2026-07-20 16:07:50.049] [DEBUG] [Game] Game: draw | moves=81 | defense=12 | winner=Draw
